nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00160] Loss: 1.763 | Acc: 34.141% | time: 51.77s 
[epoch:001, iter:00161] Loss: 1.761 | Acc: 34.239% | time: 52.08s 
[epoch:001, iter:00162] Loss: 1.760 | Acc: 34.269% | time: 52.40s 
[epoch:001, iter:00163] Loss: 1.759 | Acc: 34.324% | time: 52.72s 
[epoch:001, iter:00164] Loss: 1.758 | Acc: 34.375% | time: 53.03s 
[epoch:001, iter:00165] Loss: 1.758 | Acc: 34.400% | time: 53.35s 
[epoch:001, iter:00166] Loss: 1.756 | Acc: 34.475% | time: 53.67s 
[epoch:001, iter:00167] Loss: 1.754 | Acc: 34.550% | time: 53.98s 
[epoch:001, iter:00168] Loss: 1.753 | Acc: 34.595% | time: 54.30s 
[epoch:001, iter:00169] Loss: 1.752 | Acc: 34.674% | time: 54.62s 
[epoch:001, iter:00170] Loss: 1.751 | Acc: 34.724% | time: 54.93s 
[epoch:001, iter:00171] Loss: 1.749 | Acc: 34.804% | time: 55.25s 
[epoch:001, iter:00172] Loss: 1.748 | Acc: 34.826% | time: 55.57s 
[epoch:001, iter:00173] Loss: 1.746 | Acc: 34.914% | time: 55.88s 
[epoch:001, iter:00174] Loss: 1.745 | Acc: 34.971% | time: 56.20s 
[epoch:001, iter:00175] Loss: 1.744 | Acc: 35.030% | time: 56.52s 
[epoch:001, iter:00176] Loss: 1.744 | Acc: 35.041% | time: 56.83s 
[epoch:001, iter:00177] Loss: 1.744 | Acc: 35.058% | time: 57.15s 
[epoch:001, iter:00178] Loss: 1.743 | Acc: 35.089% | time: 57.47s 
[epoch:001, iter:00179] Loss: 1.741 | Acc: 35.152% | time: 57.79s 
[epoch:001, iter:00180] Loss: 1.740 | Acc: 35.200% | time: 58.10s 
[epoch:001, iter:00181] Loss: 1.740 | Acc: 35.204% | time: 58.43s 
[epoch:001, iter:00182] Loss: 1.739 | Acc: 35.228% | time: 58.75s 
[epoch:001, iter:00183] Loss: 1.738 | Acc: 35.300% | time: 59.07s 
[epoch:001, iter:00184] Loss: 1.736 | Acc: 35.374% | time: 59.38s 
[epoch:001, iter:00185] Loss: 1.735 | Acc: 35.439% | time: 59.70s 
[epoch:001, iter:00186] Loss: 1.733 | Acc: 35.498% | time: 60.01s 
[epoch:001, iter:00187] Loss: 1.731 | Acc: 35.561% | time: 60.33s 
[epoch:001, iter:00188] Loss: 1.730 | Acc: 35.608% | time: 60.64s 
[epoch:001, iter:00189] Loss: 1.728 | Acc: 35.678% | time: 60.96s 
[epoch:001, iter:00190] Loss: 1.727 | Acc: 35.718% | time: 61.28s 
[epoch:001, iter:00191] Loss: 1.726 | Acc: 35.719% | time: 61.60s 
[epoch:001, iter:00192] Loss: 1.725 | Acc: 35.742% | time: 61.91s 
[epoch:001, iter:00193] Loss: 1.724 | Acc: 35.789% | time: 62.23s 
[epoch:001, iter:00194] Loss: 1.723 | Acc: 35.825% | time: 62.54s 
[epoch:001, iter:00195] Loss: 1.722 | Acc: 35.897% | time: 62.86s 
[epoch:001, iter:00196] Loss: 1.721 | Acc: 35.927% | time: 63.18s 
[epoch:001, iter:00197] Loss: 1.720 | Acc: 35.951% | time: 63.50s 
[epoch:001, iter:00198] Loss: 1.718 | Acc: 36.014% | time: 63.82s 
[epoch:001, iter:00199] Loss: 1.717 | Acc: 36.053% | time: 64.14s 
[epoch:001, iter:00200] Loss: 1.716 | Acc: 36.094% | time: 64.46s 
[epoch:001, iter:00201] Loss: 1.715 | Acc: 36.127% | time: 64.77s 
[epoch:001, iter:00202] Loss: 1.714 | Acc: 36.182% | time: 65.09s 
[epoch:001, iter:00203] Loss: 1.712 | Acc: 36.253% | time: 65.41s 
[epoch:001, iter:00204] Loss: 1.711 | Acc: 36.295% | time: 65.72s 
[epoch:001, iter:00205] Loss: 1.710 | Acc: 36.336% | time: 66.04s 
[epoch:001, iter:00206] Loss: 1.709 | Acc: 36.398% | time: 66.36s 
[epoch:001, iter:00207] Loss: 1.707 | Acc: 36.443% | time: 66.67s 
[epoch:001, iter:00208] Loss: 1.706 | Acc: 36.506% | time: 66.99s 
[epoch:001, iter:00209] Loss: 1.705 | Acc: 36.570% | time: 67.31s 
[epoch:001, iter:00210] Loss: 1.704 | Acc: 36.622% | time: 67.63s 
[epoch:001, iter:00211] Loss: 1.702 | Acc: 36.673% | time: 67.94s 
[epoch:001, iter:00212] Loss: 1.702 | Acc: 36.716% | time: 68.26s 
[epoch:001, iter:00213] Loss: 1.701 | Acc: 36.737% | time: 68.58s 
[epoch:001, iter:00214] Loss: 1.699 | Acc: 36.804% | time: 68.90s 
[epoch:001, iter:00215] Loss: 1.698 | Acc: 36.841% | time: 69.22s 
[epoch:001, iter:00216] Loss: 1.697 | Acc: 36.854% | time: 69.53s 
[epoch:001, iter:00217] Loss: 1.696 | Acc: 36.888% | time: 69.85s 
[epoch:001, iter:00218] Loss: 1.695 | Acc: 36.919% | time: 70.17s 
[epoch:001, iter:00219] Loss: 1.694 | Acc: 36.941% | time: 70.48s 
[epoch:001, iter:00220] Loss: 1.693 | Acc: 36.998% | time: 70.80s 
[epoch:001, iter:00221] Loss: 1.692 | Acc: 37.038% | time: 71.12s 
[epoch:001, iter:00222] Loss: 1.691 | Acc: 37.061% | time: 71.43s 
[epoch:001, iter:00223] Loss: 1.690 | Acc: 37.096% | time: 71.75s 
[epoch:001, iter:00224] Loss: 1.689 | Acc: 37.128% | time: 72.07s 
[epoch:001, iter:00225] Loss: 1.687 | Acc: 37.206% | time: 72.38s 
[epoch:001, iter:00226] Loss: 1.686 | Acc: 37.226% | time: 72.70s 
[epoch:001, iter:00227] Loss: 1.685 | Acc: 37.257% | time: 73.02s 
[epoch:001, iter:00228] Loss: 1.684 | Acc: 37.310% | time: 73.34s 
[epoch:001, iter:00229] Loss: 1.683 | Acc: 37.373% | time: 73.66s 
[epoch:001, iter:00230] Loss: 1.681 | Acc: 37.421% | time: 73.98s 
[epoch:001, iter:00231] Loss: 1.680 | Acc: 37.475% | time: 74.29s 
[epoch:001, iter:00232] Loss: 1.679 | Acc: 37.529% | time: 74.61s 
[epoch:001, iter:00233] Loss: 1.678 | Acc: 37.592% | time: 74.93s 
[epoch:001, iter:00234] Loss: 1.676 | Acc: 37.647% | time: 75.24s 
[epoch:001, iter:00235] Loss: 1.675 | Acc: 37.699% | time: 75.56s 
[epoch:001, iter:00236] Loss: 1.674 | Acc: 37.743% | time: 75.88s 
[epoch:001, iter:00237] Loss: 1.673 | Acc: 37.801% | time: 76.20s 
[epoch:001, iter:00238] Loss: 1.672 | Acc: 37.850% | time: 76.52s 
[epoch:001, iter:00239] Loss: 1.670 | Acc: 37.912% | time: 76.83s 
[epoch:001, iter:00240] Loss: 1.669 | Acc: 37.951% | time: 77.15s 
[epoch:001, iter:00241] Loss: 1.667 | Acc: 38.027% | time: 77.47s 
[epoch:001, iter:00242] Loss: 1.666 | Acc: 38.053% | time: 77.78s 
[epoch:001, iter:00243] Loss: 1.665 | Acc: 38.107% | time: 78.10s 
[epoch:001, iter:00244] Loss: 1.663 | Acc: 38.149% | time: 78.42s 
[epoch:001, iter:00245] Loss: 1.661 | Acc: 38.227% | time: 78.73s 
[epoch:001, iter:00246] Loss: 1.661 | Acc: 38.241% | time: 79.05s 
[epoch:001, iter:00247] Loss: 1.660 | Acc: 38.289% | time: 79.37s 
[epoch:001, iter:00248] Loss: 1.659 | Acc: 38.315% | time: 79.69s 
[epoch:001, iter:00249] Loss: 1.658 | Acc: 38.358% | time: 80.00s 
[epoch:001, iter:00250] Loss: 1.656 | Acc: 38.385% | time: 80.32s 
