nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00209] Loss: 1.919 | Acc: 29.523% | time: 25.52s 
[epoch:001, iter:00210] Loss: 1.918 | Acc: 29.583% | time: 25.63s 
[epoch:001, iter:00211] Loss: 1.917 | Acc: 29.628% | time: 25.75s 
[epoch:001, iter:00212] Loss: 1.915 | Acc: 29.651% | time: 25.87s 
[epoch:001, iter:00213] Loss: 1.914 | Acc: 29.673% | time: 25.98s 
[epoch:001, iter:00214] Loss: 1.913 | Acc: 29.688% | time: 26.10s 
[epoch:001, iter:00215] Loss: 1.912 | Acc: 29.717% | time: 26.21s 
[epoch:001, iter:00216] Loss: 1.912 | Acc: 29.738% | time: 26.33s 
[epoch:001, iter:00217] Loss: 1.913 | Acc: 29.745% | time: 26.44s 
[epoch:001, iter:00218] Loss: 1.912 | Acc: 29.795% | time: 26.56s 
[epoch:001, iter:00219] Loss: 1.911 | Acc: 29.816% | time: 26.67s 
[epoch:001, iter:00220] Loss: 1.909 | Acc: 29.886% | time: 26.79s 
[epoch:001, iter:00221] Loss: 1.908 | Acc: 29.914% | time: 26.91s 
[epoch:001, iter:00222] Loss: 1.907 | Acc: 30.004% | time: 27.02s 
[epoch:001, iter:00223] Loss: 1.906 | Acc: 30.031% | time: 27.14s 
[epoch:001, iter:00224] Loss: 1.905 | Acc: 30.071% | time: 27.25s 
[epoch:001, iter:00225] Loss: 1.904 | Acc: 30.090% | time: 27.37s 
[epoch:001, iter:00226] Loss: 1.903 | Acc: 30.130% | time: 27.48s 
[epoch:001, iter:00227] Loss: 1.902 | Acc: 30.128% | time: 27.60s 
[epoch:001, iter:00228] Loss: 1.902 | Acc: 30.133% | time: 27.71s 
[epoch:001, iter:00229] Loss: 1.902 | Acc: 30.145% | time: 27.83s 
[epoch:001, iter:00230] Loss: 1.901 | Acc: 30.170% | time: 27.95s 
[epoch:001, iter:00231] Loss: 1.900 | Acc: 30.215% | time: 28.06s 
[epoch:001, iter:00232] Loss: 1.899 | Acc: 30.226% | time: 28.18s 
[epoch:001, iter:00233] Loss: 1.898 | Acc: 30.224% | time: 28.29s 
[epoch:001, iter:00234] Loss: 1.897 | Acc: 30.255% | time: 28.41s 
[epoch:001, iter:00235] Loss: 1.896 | Acc: 30.312% | time: 28.52s 
[epoch:001, iter:00236] Loss: 1.895 | Acc: 30.343% | time: 28.64s 
[epoch:001, iter:00237] Loss: 1.895 | Acc: 30.400% | time: 28.75s 
[epoch:001, iter:00238] Loss: 1.893 | Acc: 30.442% | time: 28.87s 
[epoch:001, iter:00239] Loss: 1.893 | Acc: 30.459% | time: 28.98s 
[epoch:001, iter:00240] Loss: 1.893 | Acc: 30.436% | time: 29.10s 
